year,PRCP,TMAX,TMIN,SNOW,SNWD
1893,29.595238095238095,155.25698324022346,33.690140845070424,12.36923076923077,
1894,37.166666666666664,16.72222222222222,-89.52631578947368,,
1903,15.622340425531915,160.8590909090909,21.404545454545456,8.933774834437086,160.66666666666666
1904,18.446969696969695,189.86742424242425,27.486590038314176,17.644628099173552,254.0
1905,14.422145328719724,197.03472222222223,43.34843205574913,5.125925925925926,127.0
1906,18.48611111111111,190.07042253521126,35.70774647887324,12.985185185185186,
1907,16.417218543046356,191.00993377483445,42.966777408637874,17.076923076923077,406.0
1908,17.843621399176953,192.83846153846153,33.29924242424242,4.824034334763948,
1909,14.32967032967033,192.85714285714286,44.010989010989015,5.696132596685083,
1910,16.686915887850468,188.5635838150289,37.11849710982659,13.372340425531915,
1911,54.48809523809524,167.0082191780822,21.581267217630852,53.054054054054056,
1912,43.0,166.5015479876161,24.839622641509433,21.761194029850746,
1913,41.36082474226804,193.339222614841,39.780575539568346,32.704918032786885,
1914,44.230088495575224,198.8448275862069,56.297872340425535,33.0,
1915,53.0,181.08389261744966,40.03020134228188,26.696969696969695,0.0
1916,12.083333333333334,182.68778280542986,36.387387387387385,9.702702702702704,
1917,17.69811320754717,144.0467289719626,9.764150943396226,17.933774834437084,
1918,62.40963855421687,201.42857142857142,72.41754385964913,35.878787878787875,
1919,55.07936507936508,164.75666666666666,25.97993311036789,60.611111111111114,186.33333333333334
1920,56.0,172.84112149532712,38.651162790697676,17.692307692307693,119.85714285714286
1921,45.34090909090909,202.99307958477507,55.49310344827586,58.3125,58.4
1922,41.02857142857143,192.3607142857143,38.81785714285714,44.75,108.40816326530613
1923,34.47107438016529,197.96323529411765,44.55681818181818,52.1,153.33333333333334
1924,39.04545454545455,195.71379310344827,49.641304347826086,8.567567567567568,118.6938775510204
1925,47.535714285714285,203.773851590106,54.765957446808514,33.94736842105263,211.0
1926,79.3,201.97306397306397,50.30201342281879,63.13333333333333,127.0
1927,26.65771812080537,200.59259259259258,53.0625,27.916666666666668,48.851851851851855
1928,36.24,201.70103092783506,50.72164948453608,29.571428571428573,69.75
1929,33.096,167.7366255144033,28.838056680161944,28.96551724137931,125.3974358974359
1930,41.255102040816325,201.25738396624473,54.90295358649789,9.093525179856115,156.62962962962962
1931,10.011173184357542,171.59708737864077,27.616504854368934,3.2341772151898733,225.2826086956522
